"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/locale/l10n/intl_en.arb", "JSON", 0, 1, 0, 0, 1
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/router.dart", "Dart", 10, 0, 0, 2, 12
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/theme/dark_mode.dart", "Dart", 13, 0, 10, 3, 26
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/theme/light_mode.dart", "Dart", 10, 0, 0, 2, 12
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/theme/theme_provider.dart", "Dart", 20, 0, 0, 7, 27
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/core/to_done_app.dart", "Dart", 29, 0, 0, 3, 32
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/settings/settings_page.dart", "Dart", 103, 0, 5, 4, 112
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/task_add.dart", "Dart", 125, 0, 0, 10, 135
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/task_subtasks_list.dart", "Dart", 182, 0, 0, 24, 206
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/task_update.dart", "Dart", 69, 0, 0, 7, 76
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/task_view.dart", "Dart", 177, 0, 2, 18, 197
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/tasks_bloc.dart", "Dart", 75, 0, 3, 18, 96
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/tasks_drawer.dart", "Dart", 84, 0, 4, 5, 93
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/tasks_list.dart", "Dart", 199, 0, 2, 17, 218
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/modules/tasks/taskslist_appbar.dart", "Dart", 57, 0, 1, 4, 62
"/home/extrypto/Desktop/dev/Flutter/to_done/lib/pages/home_page.dart", "Dart", 49, 0, 0, 6, 55
"Total", "-", 949, 0, 34, 114, 1097
